SalesPrice,Customer Id,Discount,Employee Id,F1,Freight,Id (Order.csv),Id,Number of Records,Order Date,Order Id,Product Id,Quantity,Required Date,Ship Address,Ship City,Ship Country,Ship Name,Ship Postal Code,Ship Region,Ship Via,Shipped Date,Unit Price
24.9,FRANS,0,2,467,3.02,10422,10422/26,1,1/22/2013,10422,26,2,2/19/2013,Via Monte Bianco 34,Torino,Italy,Franchi S.p.A.,10100,Southern Europe,1,1/31/2013,24.9
10,GOURL,0,6,468,24.5,10423,10423/31,1,1/23/2013,10423,31,14,2/6/2013,"Av. Brasil, 442",Campinas,Brazil,Gourmet Lanchonetes,04876-786,South America,3,2/24/2013,10
44,GOURL,0,6,469,24.5,10423,10423/59,1,1/23/2013,10423,59,20,2/6/2013,"Av. Brasil, 442",Campinas,Brazil,Gourmet Lanchonetes,04876-786,South America,3,2/24/2013,44
11.52,MEREP,0.2,7,470,370.61,10424,10424/35,1,1/23/2013,10424,35,60,2/20/2013,43 rue St. Laurent,Montréal,Canada,Mère Paillarde,H1J 1C3,North America,2,1/27/2013,14.4
168.64,MEREP,0.2,7,471,370.61,10424,10424/38,1,1/23/2013,10424,38,49,2/20/2013,43 rue St. Laurent,Montréal,Canada,Mère Paillarde,H1J 1C3,North America,2,1/27/2013,210.8
8,MEREP,0.2,7,472,370.61,10424,10424/68,1,1/23/2013,10424,68,30,2/20/2013,43 rue St. Laurent,Montréal,Canada,Mère Paillarde,H1J 1C3,North America,2,1/27/2013,10
14.4,LAMAI,0.25,6,473,7.93,10425,10425/55,1,1/24/2013,10425,55,10,2/21/2013,1 rue Alsace-Lorraine,Toulouse,France,La maison d'Asie,31000,Western Europe,2,2/14/2013,19.2
10.8,LAMAI,0.25,6,474,7.93,10425,10425/76,1,1/24/2013,10425,76,20,2/21/2013,1 rue Alsace-Lorraine,Toulouse,France,La maison d'Asie,31000,Western Europe,2,2/14/2013,14.4
30.4,GALED,0,4,475,18.69,10426,10426/56,1,1/27/2013,10426,56,5,2/24/2013,"Rambla de Cataluña, 23",Barcelona,Spain,Galería del gastronómo,8022,Southern Europe,1,2/6/2013,30.4
26.6,GALED,0,4,476,18.69,10426,10426/64,1,1/27/2013,10426,64,7,2/24/2013,"Rambla de Cataluña, 23",Barcelona,Spain,Galería del gastronómo,8022,Southern Europe,1,2/6/2013,26.6
18.6,PICCO,0,4,477,31.29,10427,10427/14,1,1/27/2013,10427,14,35,2/24/2013,Geislweg 14,Salzburg,Austria,Piccolo und mehr,5020,Western Europe,2,3/3/2013,18.6
9.6,REGGC,0,7,478,11.09,10428,10428/46,1,1/28/2013,10428,46,20,2/25/2013,Strada Provinciale 124,Reggio Emilia,Italy,Reggiani Caseifici,42100,Southern Europe,1,2/4/2013,9.6
13,HUNGO,0,3,479,56.63,10429,10429/50,1,1/29/2013,10429,50,40,3/12/2013,8 Johnstown Road,Cork,Ireland,Hungry Owl All-Night Grocers,,British Isles,2,2/7/2013,13
26.325,HUNGO,0.25,3,480,56.63,10429,10429/63,1,1/29/2013,10429,63,35,3/12/2013,8 Johnstown Road,Cork,Ireland,Hungry Owl All-Night Grocers,,British Isles,2,2/7/2013,35.1
24.96,ERNSH,0.2,4,481,458.78,10430,10430/17,1,1/30/2013,10430,17,45,2/13/2013,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,1,2/3/2013,31.2
8,ERNSH,0,4,482,458.78,10430,10430/21,1,1/30/2013,10430,21,50,2/13/2013,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,1,2/3/2013,8
30.4,ERNSH,0,4,483,458.78,10430,10430/56,1,1/30/2013,10430,56,30,2/13/2013,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,1,2/3/2013,30.4
35.2,ERNSH,0.2,4,484,458.78,10430,10430/59,1,1/30/2013,10430,59,70,2/13/2013,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,1,2/3/2013,44
23.4,BOTTM,0.25,4,485,44.17,10431,10431/17,1,1/30/2013,10431,17,50,2/13/2013,23 Tsawassen Blvd.,Tsawassen,Canada,Bottom-Dollar Markets,T2F 8M4,North America,2,2/7/2013,31.2
11.025,BOTTM,0.25,4,486,44.17,10431,10431/40,1,1/30/2013,10431,40,50,2/13/2013,23 Tsawassen Blvd.,Tsawassen,Canada,Bottom-Dollar Markets,T2F 8M4,North America,2,2/7/2013,14.7
5.7,BOTTM,0.25,4,487,44.17,10431,10431/47,1,1/30/2013,10431,47,30,2/13/2013,23 Tsawassen Blvd.,Tsawassen,Canada,Bottom-Dollar Markets,T2F 8M4,North America,2,2/7/2013,7.6
24.9,SPLIR,0,3,488,4.34,10432,10432/26,1,1/31/2013,10432,26,10,2/14/2013,P.O. Box 555,Lander,USA,Split Rail Beer & Ale,82520,North America,2,2/7/2013,24.9
5.9,SPLIR,0,3,489,4.34,10432,10432/54,1,1/31/2013,10432,54,40,2/14/2013,P.O. Box 555,Lander,USA,Split Rail Beer & Ale,82520,North America,2,2/7/2013,5.9
30.4,PRINI,0,3,490,73.83,10433,10433/56,1,2/3/2013,10433,56,28,3/3/2013,Estrada da saúde n. 58,Lisboa,Portugal,Princesa Isabel Vinhos,1756,Southern Europe,3,3/4/2013,30.4
16.8,FOLKO,0,3,491,17.92,10434,10434/11,1,2/3/2013,10434,11,6,3/3/2013,Åkergatan 24,Bräcke,Sweden,Folk och fä HB,S-844 67,Northern Europe,2,2/13/2013,16.8
12.24,FOLKO,0.15,3,492,17.92,10434,10434/76,1,2/3/2013,10434,76,18,3/3/2013,Åkergatan 24,Bräcke,Sweden,Folk och fä HB,S-844 67,Northern Europe,2,2/13/2013,14.4
15.2,CONSH,0,8,493,9.21,10435,10435/2,1,2/4/2013,10435,2,10,3/18/2013,Berkeley Gardens 12  Brewery,London,UK,Consolidated Holdings,WX1 6LT,British Isles,2,2/7/2013,15.2
16.8,CONSH,0,8,494,9.21,10435,10435/22,1,2/4/2013,10435,22,12,3/18/2013,Berkeley Gardens 12  Brewery,London,UK,Consolidated Holdings,WX1 6LT,British Isles,2,2/7/2013,16.8
27.8,CONSH,0,8,495,9.21,10435,10435/72,1,2/4/2013,10435,72,10,3/18/2013,Berkeley Gardens 12  Brewery,London,UK,Consolidated Holdings,WX1 6LT,British Isles,2,2/7/2013,27.8
9.6,BLONP,0,3,496,156.66,10436,10436/46,1,2/5/2013,10436,46,5,3/5/2013,"24, place Kléber",Strasbourg,France,Blondel père et fils,67000,Western Europe,2,2/11/2013,9.6
27.36,BLONP,0.1,3,497,156.66,10436,10436/56,1,2/5/2013,10436,56,40,3/5/2013,"24, place Kléber",Strasbourg,France,Blondel père et fils,67000,Western Europe,2,2/11/2013,30.4
23.94,BLONP,0.1,3,498,156.66,10436,10436/64,1,2/5/2013,10436,64,30,3/5/2013,"24, place Kléber",Strasbourg,France,Blondel père et fils,67000,Western Europe,2,2/11/2013,26.6
5.58,BLONP,0.1,3,499,156.66,10436,10436/75,1,2/5/2013,10436,75,24,3/5/2013,"24, place Kléber",Strasbourg,France,Blondel père et fils,67000,Western Europe,2,2/11/2013,6.2
26.2,WARTH,0,8,500,19.97,10437,10437/53,1,2/5/2013,10437,53,15,3/5/2013,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,Scandinavia,1,2/12/2013,26.2
5.84,TOMSP,0.2,3,501,8.24,10438,10438/19,1,2/6/2013,10438,19,15,3/6/2013,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,Western Europe,2,2/14/2013,7.3
8.96,TOMSP,0.2,3,502,8.24,10438,10438/34,1,2/6/2013,10438,34,20,3/6/2013,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,Western Europe,2,2/14/2013,11.2
12.48,TOMSP,0.2,3,503,8.24,10438,10438/57,1,2/6/2013,10438,57,15,3/6/2013,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,Western Europe,2,2/14/2013,15.6
30.4,MEREP,0,6,504,4.07,10439,10439/12,1,2/7/2013,10439,12,15,3/7/2013,43 rue St. Laurent,Montréal,Canada,Mère Paillarde,H1J 1C3,North America,3,2/10/2013,30.4
13.9,MEREP,0,6,505,4.07,10439,10439/16,1,2/7/2013,10439,16,16,3/7/2013,43 rue St. Laurent,Montréal,Canada,Mère Paillarde,H1J 1C3,North America,3,2/10/2013,13.9
26.6,MEREP,0,6,506,4.07,10439,10439/64,1,2/7/2013,10439,64,6,3/7/2013,43 rue St. Laurent,Montréal,Canada,Mère Paillarde,H1J 1C3,North America,3,2/10/2013,26.6
8,MEREP,0,6,507,4.07,10439,10439/74,1,2/7/2013,10439,74,30,3/7/2013,43 rue St. Laurent,Montréal,Canada,Mère Paillarde,H1J 1C3,North America,3,2/10/2013,8
12.92,SAVEA,0.15,4,508,86.53,10440,10440/2,1,2/10/2013,10440,2,45,3/10/2013,187 Suffolk Ln.,Boise,USA,Save-a-lot Markets,83720,North America,2,2/28/2013,15.2
11.815,SAVEA,0.15,4,509,86.53,10440,10440/16,1,2/10/2013,10440,16,49,3/10/2013,187 Suffolk Ln.,Boise,USA,Save-a-lot Markets,83720,North America,2,2/28/2013,13.9
84.15,SAVEA,0.15,4,510,86.53,10440,10440/29,1,2/10/2013,10440,29,24,3/10/2013,187 Suffolk Ln.,Boise,USA,Save-a-lot Markets,83720,North America,2,2/28/2013,99
19.38,SAVEA,0.15,4,511,86.53,10440,10440/61,1,2/10/2013,10440,61,90,3/10/2013,187 Suffolk Ln.,Boise,USA,Save-a-lot Markets,83720,North America,2,2/28/2013,22.8
35.1,OLDWO,0,3,512,73.02,10441,10441/27,1,2/10/2013,10441,27,50,3/24/2013,2743 Bering St.,Anchorage,USA,Old World Delicatessen,99508,North America,2,3/14/2013,35.1
16.8,ERNSH,0,3,513,47.94,10442,10442/11,1,2/11/2013,10442,11,30,3/11/2013,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,2,2/18/2013,16.8
5.9,ERNSH,0,3,514,47.94,10442,10442/54,1,2/11/2013,10442,54,80,3/11/2013,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,2,2/18/2013,5.9
13.6,ERNSH,0,3,515,47.94,10442,10442/66,1,2/11/2013,10442,66,60,3/11/2013,Kirchgasse 6,Graz,Austria,Ernst Handel,8010,Western Europe,2,2/18/2013,13.6
13.44,REGGC,0.2,8,516,13.95,10443,10443/11,1,2/12/2013,10443,11,6,3/12/2013,Strada Provinciale 124,Reggio Emilia,Italy,Reggiani Caseifici,42100,Southern Europe,1,2/14/2013,16.8
36.4,REGGC,0,8,517,13.95,10443,10443/28,1,2/12/2013,10443,28,12,3/12/2013,Strada Provinciale 124,Reggio Emilia,Italy,Reggiani Caseifici,42100,Southern Europe,1,2/14/2013,36.4
31.2,BERGS,0,3,518,3.5,10444,10444/17,1,2/12/2013,10444,17,10,3/12/2013,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,3,2/21/2013,31.2
24.9,BERGS,0,3,519,3.5,10444,10444/26,1,2/12/2013,10444,26,15,3/12/2013,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,3,2/21/2013,24.9
14.4,BERGS,0,3,520,3.5,10444,10444/35,1,2/12/2013,10444,35,8,3/12/2013,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,3,2/21/2013,14.4
7.7,BERGS,0,3,521,3.5,10444,10444/41,1,2/12/2013,10444,41,30,3/12/2013,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,3,2/21/2013,7.7
14.4,BERGS,0,3,522,9.3,10445,10445/39,1,2/13/2013,10445,39,6,3/13/2013,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,1,2/20/2013,14.4
5.9,BERGS,0,3,523,9.3,10445,10445/54,1,2/13/2013,10445,54,15,3/13/2013,Berguvsvägen  8,Luleå,Sweden,Berglunds snabbköp,S-958 22,Northern Europe,1,2/20/2013,5.9
6.57,TOMSP,0.1,6,524,14.68,10446,10446/19,1,2/14/2013,10446,19,12,3/14/2013,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,Western Europe,1,2/19/2013,7.3
3.24,TOMSP,0.1,6,525,14.68,10446,10446/24,1,2/14/2013,10446,24,20,3/14/2013,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,Western Europe,1,2/19/2013,3.6
9,TOMSP,0.1,6,526,14.68,10446,10446/31,1,2/14/2013,10446,31,3,3/14/2013,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,Western Europe,1,2/19/2013,10
5.04,TOMSP,0.1,6,527,14.68,10446,10446/52,1,2/14/2013,10446,52,15,3/14/2013,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,Western Europe,1,2/19/2013,5.6
7.3,RICAR,0,4,528,68.66,10447,10447/19,1,2/14/2013,10447,19,40,3/14/2013,"Av. Copacabana, 267",Rio de Janeiro,Brazil,Ricardo Adocicados,02389-890,South America,2,3/7/2013,7.3
16.8,RICAR,0,4,529,68.66,10447,10447/65,1,2/14/2013,10447,65,35,3/14/2013,"Av. Copacabana, 267",Rio de Janeiro,Brazil,Ricardo Adocicados,02389-890,South America,2,3/7/2013,16.8
17.2,RICAR,0,4,530,68.66,10447,10447/71,1,2/14/2013,10447,71,2,3/14/2013,"Av. Copacabana, 267",Rio de Janeiro,Brazil,Ricardo Adocicados,02389-890,South America,2,3/7/2013,17.2
24.9,RANCH,0,4,531,38.82,10448,10448/26,1,2/17/2013,10448,26,6,3/17/2013,Av. del Libertador 900,Buenos Aires,Argentina,Rancho grande,1010,South America,2,2/24/2013,24.9
14.7,RANCH,0,4,532,38.82,10448,10448/40,1,2/17/2013,10448,40,20,3/17/2013,Av. del Libertador 900,Buenos Aires,Argentina,Rancho grande,1010,South America,2,2/24/2013,14.7
24.8,BLONP,0,3,533,53.3,10449,10449/10,1,2/18/2013,10449,10,14,3/18/2013,"24, place Kléber",Strasbourg,France,Blondel père et fils,67000,Western Europe,2,2/27/2013,24.8
5.6,BLONP,0,3,534,53.3,10449,10449/52,1,2/18/2013,10449,52,20,3/18/2013,"24, place Kléber",Strasbourg,France,Blondel père et fils,67000,Western Europe,2,2/27/2013,5.6
39.4,BLONP,0,3,535,53.3,10449,10449/62,1,2/18/2013,10449,62,35,3/18/2013,"24, place Kléber",Strasbourg,France,Blondel père et fils,67000,Western Europe,2,2/27/2013,39.4
19.84,VICTE,0.2,8,536,7.23,10450,10450/10,1,2/19/2013,10450,10,20,3/19/2013,"2, rue du Commerce",Lyon,France,Victuailles en stock,69004,Western Europe,2,3/11/2013,24.8
4.72,VICTE,0.2,8,537,7.23,10450,10450/54,1,2/19/2013,10450,54,6,3/19/2013,"2, rue du Commerce",Lyon,France,Victuailles en stock,69004,Western Europe,2,3/11/2013,5.9
17.28,QUICK,0.1,4,538,189.09,10451,10451/55,1,2/19/2013,10451,55,120,3/5/2013,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,3,3/12/2013,19.2
23.94,QUICK,0.1,4,539,189.09,10451,10451/64,1,2/19/2013,10451,64,35,3/5/2013,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,3,3/12/2013,26.6
15.12,QUICK,0.1,4,540,189.09,10451,10451/65,1,2/19/2013,10451,65,28,3/5/2013,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,3,3/12/2013,16.8
9.36,QUICK,0.1,4,541,189.09,10451,10451/77,1,2/19/2013,10451,77,55,3/5/2013,Taucherstraße 10,Cunewalde,Germany,QUICK-Stop,01307,Western Europe,3,3/12/2013,10.4
36.4,SAVEA,0,8,542,140.26,10452,10452/28,1,2/20/2013,10452,28,15,3/20/2013,187 Suffolk Ln.,Boise,USA,Save-a-lot Markets,83720,North America,1,2/26/2013,36.4
14.725,SAVEA,0.05,8,543,140.26,10452,10452/44,1,2/20/2013,10452,44,100,3/20/2013,187 Suffolk Ln.,Boise,USA,Save-a-lot Markets,83720,North America,1,2/26/2013,15.5
9.18,AROUT,0.1,1,544,25.36,10453,10453/48,1,2/21/2013,10453,48,15,3/21/2013,Brook Farm Stratford St. Mary,Colchester,UK,Around the Horn,CO7 6JX,British Isles,2,2/26/2013,10.2
10.8,AROUT,0.1,1,545,25.36,10453,10453/70,1,2/21/2013,10453,70,25,3/21/2013,Brook Farm Stratford St. Mary,Colchester,UK,Around the Horn,CO7 6JX,British Isles,2,2/26/2013,12
11.12,LAMAI,0.2,4,546,2.74,10454,10454/16,1,2/21/2013,10454,16,20,3/21/2013,1 rue Alsace-Lorraine,Toulouse,France,La maison d'Asie,31000,Western Europe,3,2/25/2013,13.9
1.6,LAMAI,0.2,4,547,2.74,10454,10454/33,1,2/21/2013,10454,33,20,3/21/2013,1 rue Alsace-Lorraine,Toulouse,France,La maison d'Asie,31000,Western Europe,3,2/25/2013,2
7.68,LAMAI,0.2,4,548,2.74,10454,10454/46,1,2/21/2013,10454,46,10,3/21/2013,1 rue Alsace-Lorraine,Toulouse,France,La maison d'Asie,31000,Western Europe,3,2/25/2013,9.6
14.4,WARTH,0,8,549,180.45,10455,10455/39,1,2/24/2013,10455,39,20,4/7/2013,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,Scandinavia,2,3/3/2013,14.4
26.2,WARTH,0,8,550,180.45,10455,10455/53,1,2/24/2013,10455,53,50,4/7/2013,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,Scandinavia,2,3/3/2013,26.2
22.8,WARTH,0,8,551,180.45,10455,10455/61,1,2/24/2013,10455,61,25,4/7/2013,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,Scandinavia,2,3/3/2013,22.8
17.2,WARTH,0,8,552,180.45,10455,10455/71,1,2/24/2013,10455,71,30,4/7/2013,Torikatu 38,Oulu,Finland,Wartian Herkku,90110,Scandinavia,2,3/3/2013,17.2
6.8,KOENE,0.15,8,553,8.12,10456,10456/21,1,2/25/2013,10456,21,40,4/8/2013,Maubelstr. 90,Brandenburg,Germany,Königlich Essen,14776,Western Europe,2,2/28/2013,8
13.6,KOENE,0.15,8,554,8.12,10456,10456/49,1,2/25/2013,10456,49,21,4/8/2013,Maubelstr. 90,Brandenburg,Germany,Königlich Essen,14776,Western Europe,2,2/28/2013,16
44,KOENE,0,2,555,11.57,10457,10457/59,1,2/25/2013,10457,59,36,3/25/2013,Maubelstr. 90,Brandenburg,Germany,Königlich Essen,14776,Western Europe,1,3/3/2013,44
24.9,SUPRD,0,7,556,147.06,10458,10458/26,1,2/26/2013,10458,26,30,3/26/2013,"Boulevard Tirou, 255",Charleroi,Belgium,Suprêmes délices,B-6000,Western Europe,3,3/4/2013,24.9
36.4,SUPRD,0,7,557,147.06,10458,10458/28,1,2/26/2013,10458,28,30,3/26/2013,"Boulevard Tirou, 255",Charleroi,Belgium,Suprêmes délices,B-6000,Western Europe,3,3/4/2013,36.4
36.8,SUPRD,0,7,558,147.06,10458,10458/43,1,2/26/2013,10458,43,20,3/26/2013,"Boulevard Tirou, 255",Charleroi,Belgium,Suprêmes délices,B-6000,Western Europe,3,3/4/2013,36.8
30.4,SUPRD,0,7,559,147.06,10458,10458/56,1,2/26/2013,10458,56,15,3/26/2013,"Boulevard Tirou, 255",Charleroi,Belgium,Suprêmes délices,B-6000,Western Europe,3,3/4/2013,30.4
17.2,SUPRD,0,7,560,147.06,10458,10458/71,1,2/26/2013,10458,71,50,3/26/2013,"Boulevard Tirou, 255",Charleroi,Belgium,Suprêmes délices,B-6000,Western Europe,3,3/4/2013,17.2
22.8,VICTE,0.05,4,561,25.09,10459,10459/7,1,2/27/2013,10459,7,16,3/27/2013,"2, rue du Commerce",Lyon,France,Victuailles en stock,69004,Western Europe,2,2/28/2013,24
9.12,VICTE,0.05,4,562,25.09,10459,10459/46,1,2/27/2013,10459,46,20,3/27/2013,"2, rue du Commerce",Lyon,France,Victuailles en stock,69004,Western Europe,2,2/28/2013,9.6
27.8,VICTE,0,4,563,25.09,10459,10459/72,1,2/27/2013,10459,72,40,3/27/2013,"2, rue du Commerce",Lyon,France,Victuailles en stock,69004,Western Europe,2,2/28/2013,27.8
7.5,FOLKO,0.25,8,564,16.27,10460,10460/68,1,2/28/2013,10460,68,21,3/28/2013,Åkergatan 24,Bräcke,Sweden,Folk och fä HB,S-844 67,Northern Europe,1,3/3/2013,10
4.65,FOLKO,0.25,8,565,16.27,10460,10460/75,1,2/28/2013,10460,75,4,3/28/2013,Åkergatan 24,Bräcke,Sweden,Folk och fä HB,S-844 67,Northern Europe,1,3/3/2013,6.2
6,LILAS,0.25,1,566,148.61,10461,10461/21,1,2/28/2013,10461,21,40,3/28/2013,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,South America,3,3/5/2013,8
15.525,LILAS,0.25,1,567,148.61,10461,10461/30,1,2/28/2013,10461,30,28,3/28/2013,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,South America,3,3/5/2013,20.7
14.4,LILAS,0.25,1,568,148.61,10461,10461/55,1,2/28/2013,10461,55,60,3/28/2013,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Venezuela,LILA-Supermercado,3508,South America,3,3/5/2013,19.2
4.8,CONSH,0,2,569,6.17,10462,10462/13,1,3/3/2013,10462,13,1,3/31/2013,Berkeley Gardens 12  Brewery,London,UK,Consolidated Holdings,WX1 6LT,British Isles,1,3/18/2013,4.8
7.2,CONSH,0,2,570,6.17,10462,10462/23,1,3/3/2013,10462,23,21,3/31/2013,Berkeley Gardens 12  Brewery,London,UK,Consolidated Holdings,WX1 6LT,British Isles,1,3/18/2013,7.2
7.3,SUPRD,0,5,571,14.78,10463,10463/19,1,3/4/2013,10463,19,21,4/1/2013,"Boulevard Tirou, 255",Charleroi,Belgium,Suprêmes délices,B-6000,Western Europe,3,3/6/2013,7.3
11.2,SUPRD,0,5,572,14.78,10463,10463/42,1,3/4/2013,10463,42,50,4/1/2013,"Boulevard Tirou, 255",Charleroi,Belgium,Suprêmes délices,B-6000,Western Europe,3,3/6/2013,11.2
14.08,FURIB,0.2,4,573,89,10464,10464/4,1,3/4/2013,10464,4,16,4/1/2013,Jardim das rosas n. 32,Lisboa,Portugal,Furia Bacalhau e Frutos do Mar,1675,Southern Europe,2,3/14/2013,17.6
36.8,FURIB,0,4,574,89,10464,10464/43,1,3/4/2013,10464,43,3,4/1/2013,Jardim das rosas n. 32,Lisboa,Portugal,Furia Bacalhau e Frutos do Mar,1675,Southern Europe,2,3/14/2013,36.8
24.32,FURIB,0.2,4,575,89,10464,10464/56,1,3/4/2013,10464,56,30,4/1/2013,Jardim das rosas n. 32,Lisboa,Portugal,Furia Bacalhau e Frutos do Mar,1675,Southern Europe,2,3/14/2013,30.4
27.2,FURIB,0,4,576,89,10464,10464/60,1,3/4/2013,10464,60,20,4/1/2013,Jardim das rosas n. 32,Lisboa,Portugal,Furia Bacalhau e Frutos do Mar,1675,Southern Europe,2,3/14/2013,27.2
3.6,VAFFE,0,1,577,145.04,10465,10465/24,1,3/5/2013,10465,24,25,4/2/2013,Smagsloget 45,Århus,Denmark,Vaffeljernet,8200,Northern Europe,3,3/14/2013,3.6
89.1,VAFFE,0.1,1,578,145.04,10465,10465/29,1,3/5/2013,10465,29,18,4/2/2013,Smagsloget 45,Århus,Denmark,Vaffeljernet,8200,Northern Europe,3,3/14/2013,99
14.7,VAFFE,0,1,579,145.04,10465,10465/40,1,3/5/2013,10465,40,20,4/2/2013,Smagsloget 45,Århus,Denmark,Vaffeljernet,8200,Northern Europe,3,3/14/2013,14.7
6.84,VAFFE,0.1,1,580,145.04,10465,10465/45,1,3/5/2013,10465,45,30,4/2/2013,Smagsloget 45,Århus,Denmark,Vaffeljernet,8200,Northern Europe,3,3/14/2013,7.6
13,VAFFE,0,1,581,145.04,10465,10465/50,1,3/5/2013,10465,50,25,4/2/2013,Smagsloget 45,Århus,Denmark,Vaffeljernet,8200,Northern Europe,3,3/14/2013,13
16.8,COMMI,0,4,582,11.93,10466,10466/11,1,3/6/2013,10466,11,10,4/3/2013,"Av. dos Lusíadas, 23",Sao Paulo,Brazil,Comércio Mineiro,05432-043,South America,1,3/13/2013,16.8
9.6,COMMI,0,4,583,11.93,10466,10466/46,1,3/6/2013,10466,46,5,4/3/2013,"Av. dos Lusíadas, 23",Sao Paulo,Brazil,Comércio Mineiro,05432-043,South America,1,3/13/2013,9.6
3.6,MAGAA,0,8,584,4.93,10467,10467/24,1,3/6/2013,10467,24,28,4/3/2013,Via Ludovico il Moro 22,Bergamo,Italy,Magazzini Alimentari Riuniti,24100,Southern Europe,2,3/11/2013,3.6
11.2,MAGAA,0,8,585,4.93,10467,10467/25,1,3/6/2013,10467,25,12,4/3/2013,Via Ludovico il Moro 22,Bergamo,Italy,Magazzini Alimentari Riuniti,24100,Southern Europe,2,3/11/2013,11.2
20.7,KOENE,0,3,586,44.12,10468,10468/30,1,3/7/2013,10468,30,8,4/4/2013,Maubelstr. 90,Brandenburg,Germany,Königlich Essen,14776,Western Europe,3,3/12/2013,20.7
36.8,KOENE,0,3,587,44.12,10468,10468/43,1,3/7/2013,10468,43,15,4/4/2013,Maubelstr. 90,Brandenburg,Germany,Königlich Essen,14776,Western Europe,3,3/12/2013,36.8
12.92,WHITC,0.15,1,588,60.18,10469,10469/2,1,3/10/2013,10469,2,40,4/7/2013,1029 - 12th Ave. S.,Seattle,USA,White Clover Markets,98124,North America,1,3/14/2013,15.2
11.815,WHITC,0.15,1,589,60.18,10469,10469/16,1,3/10/2013,10469,16,35,4/7/2013,1029 - 12th Ave. S.,Seattle,USA,White Clover Markets,98124,North America,1,3/14/2013,13.9
13.175,WHITC,0.15,1,590,60.18,10469,10469/44,1,3/10/2013,10469,44,2,4/7/2013,1029 - 12th Ave. S.,Seattle,USA,White Clover Markets,98124,North America,1,3/14/2013,15.5
50,BONAP,0,4,591,64.56,10470,10470/18,1,3/11/2013,10470,18,30,4/8/2013,"12, rue des Bouchers",Marseille,France,Bon app',13008,Western Europe,2,3/14/2013,50
7.2,BONAP,0,4,592,64.56,10470,10470/23,1,3/11/2013,10470,23,15,4/8/2013,"12, rue des Bouchers",Marseille,France,Bon app',13008,Western Europe,2,3/14/2013,7.2
26.6,BONAP,0,4,593,64.56,10470,10470/64,1,3/11/2013,10470,64,8,4/8/2013,"12, rue des Bouchers",Marseille,France,Bon app',13008,Western Europe,2,3/14/2013,26.6
24,BSBEV,0,2,594,45.59,10471,10471/7,1,3/11/2013,10471,7,30,4/8/2013,Fauntleroy Circus,London,UK,B's Beverages,EC2 5NT,British Isles,3,3/18/2013,24
30.4,BSBEV,0,2,595,45.59,10471,10471/56,1,3/11/2013,10471,56,20,4/8/2013,Fauntleroy Circus,London,UK,B's Beverages,EC2 5NT,British Isles,3,3/18/2013,30.4
3.42,SEVES,0.05,8,596,4.2,10472,10472/24,1,3/12/2013,10472,24,80,4/9/2013,90 Wadhurst Rd.,London,UK,Seven Seas Imports,OX15 4NB,British Isles,1,3/19/2013,3.6
42.4,SEVES,0,8,597,4.2,10472,10472/51,1,3/12/2013,10472,51,18,4/9/2013,90 Wadhurst Rd.,London,UK,Seven Seas Imports,OX15 4NB,British Isles,1,3/19/2013,42.4
2,ISLAT,0,1,598,16.37,10473,10473/33,1,3/13/2013,10473,33,12,3/27/2013,Garden House Crowther Way,Cowes,UK,Island Trading,PO31 7PJ,British Isles,3,3/21/2013,2
